time,04,09,20,21
3015,24.2,25.3,87.0,42.5
3020,24.2,25.0,86.7,42.2
3025,24.2,24.7,86.5,41.9
3030,24.2,24.5,86.2,41.7
3035,24.2,24.2,85.9,41.4
3040,24.2,23.9,85.8,41.1
3045,99.9,23.7,85.5,40.9
3050,99.6,23.4,85.2,40.6
3055,99.4,23.1,85.0,40.4
3060,99.1,22.9,84.7,40.1
3065,98.8,22.6,84.4,39.8
3070,98.6,22.4,84.2,39.6
3075,98.3,22.1,83.9,39.3
3080,98.0,21.8,83.6,39.1
3085,97.8,21.6,83.4,38.8
3090,97.5,21.5,83.1,38.5
3095,97.2,21.5,82.8,38.3
3100,97.0,21.5,82.6,38.0
3105,96.7,21.5,82.3,37.7
3110,96.5,21.5,82.0,37.5
3115,96.2,21.5,81.8,37.2
3120,95.9,21.5,81.5,36.9
3125,95.7,21.5,81.3,36.7
3130,95.4,21.5,81.0,36.4
3135,95.1,21.5,80.8,36.1
3140,94.9,21.5,80.5,35.9
3145,94.6,21.5,80.2,35.6
3150,94.3,100.0,80.0,35.3
3155,94.1,100.0,79.7,35.1
3160,93.8,100.0,79.4,34.8
3165,93.5,100.0,79.2,34.6
3170,93.3,100.0,78.9,34.3
3175,93.0,100.0,78.6,34.1
3180,92.8,100.0,78.4,33.8
3185,92.5,100.0,78.1,33.5
3190,92.2,100.0,77.9,33.3
3195,92.0,100.0,77.6,33.0
3200,91.7,100.0,77.3,32.8
3205,91.4,100.0,77.1,32.5
3210,91.2,100.0,76.8,32.2
3215,90.9,100.0,76.5,32.0
3220,90.6,100.0,76.3,31.7
3225,90.4,100.0,76.0,31.4
3230,90.1,100.0,75.8,31.2
3235,89.8,100.0,75.5,30.9
3240,89.6,100.0,75.3,30.7
3245,89.3,100.0,75.0,30.4
3250,89.0,100.0,74.7,30.1
3255,88.8,100.0,74.5,29.9
3260,88.5,100.0,74.2,29.6
3265,88.3,100.0,74.0,29.3
3270,88.0,100.0,73.7,29.1
3275,87.7,100.0,73.4,28.8
3280,87.5,100.0,73.2,28.5
3285,87.2,100.0,72.9,28.3
3290,86.9,100.0,72.6,28.0
3295,86.7,100.0,72.4,27.7
3300,86.4,100.0,72.1,27.5
3305,86.1,100.0,71.8,27.2
3310,85.9,100.0,71.6,27.0
3315,85.6,100.0,71.3,26.7
3320,85.3,100.0,71.1,26.4
3325,85.1,100.0,70.8,26.2
3330,84.8,100.0,70.6,25.9
3335,84.6,100.0,70.3,25.6
3340,84.4,100.0,70.0,25.4
3345,84.1,100.0,69.8,25.1
3350,83.8,100.0,69.5,24.8
3355,83.6,100.0,69.2,24.6
3360,83.3,100.0,69.0,24.3
3365,83.0,100.0,68.7,24.0
3370,82.8,100.0,68.4,23.8
3375,82.5,100.0,68.2,23.5
3380,82.2,100.0,67.9,23.2
3385,82.0,100.0,67.6,23.0
3390,81.7,100.0,67.4,22.7
3395,81.4,100.0,67.1,22.5
3400,81.2,100.0,66.8,22.2
3405,80.9,100.0,66.6,21.9
3410,80.7,100.0,66.3,21.7
3415,80.4,100.0,66.1,21.5
3420,80.1,100.0,65.8,21.5
3425,79.9,100.0,65.6,21.5
3430,79.6,100.0,65.3,21.5
3435,79.3,100.0,65.1,21.5
3440,79.1,100.0,64.8,21.5
3445,78.8,100.0,64.5,21.5
3450,78.5,100.0,64.3,21.5
3455,78.3,100.0,64.0,21.5
3460,78.0,100.0,63.7,21.5
3465,77.7,100.0,63.5,21.5
3470,77.5,100.0,63.2,21.5
3475,77.2,100.0,63.0,99.9
3480,77.0,100.0,62.7,99.7
3485,76.7,100.0,62.4,99.4
3490,76.4,100.0,62.2,99.2
3495,76.2,100.0,61.9,98.9
3500,75.9,100.0,61.6,98.6
3505,75.6,100.0,61.4,98.4
3510,75.4,100.0,61.1,98.1
3515,75.1,100.0,60.9,97.8
3520,74.8,100.0,60.6,97.6
3525,74.6,100.0,60.3,97.3
